This file was created by CMPT_ME_BEME_RETS using the 200508 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
198211    4.56    4.73   -1.89    0.63
198212    0.78   -0.21    0.10    0.67
198301    3.49    2.60   -0.81    0.69
198302    2.40    3.20    0.74    0.62
198303    2.84    1.78    1.93    0.63
198304    6.71    0.43    0.61    0.71
198305    0.63    6.13   -1.49    0.69
198306    3.11    1.03   -3.99    0.67
198307   -3.90    1.52    5.57    0.74
198308   -0.41   -4.26    5.56    0.76
198309    0.85    0.58    0.99    0.76
198310   -3.56   -3.56    4.90    0.76
198311    2.26    2.05   -0.79    0.70
198312   -1.78   -0.28    1.75    0.73
198401   -2.06   -0.39    7.62    0.76
198402   -4.62   -1.66    3.49    0.71
198403    0.61    0.09    0.47    0.73
198404   -0.56   -1.13    1.28    0.81
198405   -6.01    0.06    0.30    0.78
198406    1.59   -0.23   -2.70    0.75
198407   -2.88   -2.27    0.33    0.82
198408   10.44   -0.26   -1.75    0.83
198409   -0.82    0.21    5.25    0.86
198410   -1.01   -1.18    0.54    1.00
198411   -1.80   -0.66    3.91    0.73
198412    1.73   -0.54   -0.08    0.64
198501    7.92    3.18   -5.34    0.65
198502    1.11    0.82    0.00    0.58
198503   -0.79   -1.11    4.03    0.62
198504   -0.94    0.15    3.77    0.72
198505    4.92   -2.26   -0.90    0.66
198506    1.16    0.55    0.54    0.55
198507   -0.65    2.86   -1.64    0.62
198508   -1.03   -0.34    2.21    0.55
198509   -4.58   -1.63    1.20    0.60
198510    3.79   -1.64    0.80    0.65
198511    6.31    0.15   -2.82    0.61
198512    3.66   -0.44   -1.35    0.65
198601    0.42    1.18    0.44    0.56
198602    6.72   -0.56   -0.61    0.53
198603    4.79   -0.68   -0.49    0.60
198604   -1.31    2.72   -2.87    0.52
198605    4.59   -1.28   -0.09    0.49
198606    0.90   -0.95    1.36    0.52
198607   -6.49   -3.44    4.85    0.52
198608    6.16   -4.17    3.59    0.46
198609   -8.35    2.44    2.93    0.45
198610    4.47   -2.53   -1.47    0.46
198611    1.12   -2.04    0.03    0.39
198612   -3.13    0.12    0.37    0.49
198701   12.43   -1.87   -2.98    0.42
198702    4.36    3.51   -6.04    0.43
198703    1.89    0.43    1.45    0.47
198704   -2.14   -1.65   -0.21    0.44
198705    0.13   -0.55    0.11    0.38
198706    3.89   -2.06    1.08    0.48
198707    3.96   -0.47    0.77    0.46
198708    3.24   -0.80   -0.89    0.47
198709   -2.53    0.57    0.29    0.45
198710  -23.13   -8.27    4.32    0.60
198711   -7.58    2.61    3.19    0.35
198712    6.64    0.12   -4.50    0.39
198801    4.20   -0.64    5.22    0.29
198802    4.71    3.35   -1.67    0.46
198803   -2.10    6.10    0.86    0.44
198804    0.64    0.96    1.51    0.46
198805   -0.47   -2.70    2.36    0.51
198806    4.66    1.97   -1.23    0.49
198807   -1.24   -0.16    2.30    0.51
198808   -3.39    0.19    2.15    0.59
198809    3.10   -1.38   -0.77    0.62
198810    1.15   -2.91    1.60    0.61
198811   -2.21   -1.66    1.26    0.57
198812    1.48    1.93   -1.46    0.63
198901    6.06   -2.03    0.50    0.55
198902   -2.25    2.84    0.95    0.61
198903    1.48    0.74    0.38    0.67
198904    4.15   -0.53   -1.54    0.67
198905    3.14   -0.01   -0.78    0.79
198906   -1.20   -0.90    2.09    0.71
198907    7.01   -4.03   -2.77    0.70
198908    1.47    0.55    0.59    0.74
198909   -0.80    0.37   -1.32    0.65
198910   -3.61   -3.23   -1.14    0.68
198911    1.09   -1.22   -1.11    0.69
198912    1.22   -2.39    0.23    0.61
199001   -7.58   -1.23    0.85    0.57
199002    0.92    0.98    0.56    0.57
199003    1.77    1.41   -2.90    0.64
199004   -3.52   -0.45   -2.48    0.69
199005    8.21   -2.76   -3.84    0.68
199006   -1.05    1.42   -2.08    0.63
199007   -1.62   -3.03    0.10    0.68
199008   -9.85   -3.48    1.55    0.66
199009   -5.98   -3.60    0.65    0.60
199010   -1.93   -5.47    0.20    0.68
199011    6.00    0.23   -2.96    0.57
199012    2.35    0.78   -1.58    0.60
199101    4.39    3.82   -1.76    0.52
199102    7.10    3.87   -0.54    0.48
199103    2.45    3.93   -1.25    0.44
199104   -0.20    0.49    1.51    0.53
199105    3.60   -0.37   -0.52    0.47
199106   -4.82    0.15    1.12    0.42
199107    4.19   -0.91   -1.36    0.49
199108    2.22    1.63   -0.83    0.46
199109   -1.56    1.68   -1.10    0.46
199110    1.36    0.81   -0.35    0.42
199111   -4.12   -0.52   -1.84    0.39
199112   10.30   -2.22   -4.06    0.38
199201   -0.46    8.33    4.59    0.34
199202    1.05    0.85    6.38    0.28
199203   -2.71   -1.03    3.65    0.34
199204    1.02   -6.12    4.34    0.32
199205    0.36    0.45    1.14    0.28
199206   -2.25   -3.03    3.25    0.32
199207    3.68   -0.40   -0.55    0.31
199208   -2.34   -0.08   -1.07    0.26
199209    0.98    0.55   -0.21    0.26
199210    0.87    2.05   -2.06    0.23
199211    3.79    3.58   -1.55    0.23
199212    1.50    1.66    2.49    0.28
199301    1.03    2.01    5.78    0.23
199302    0.32   -3.36    6.52    0.22
199303    2.26    0.32    1.25    0.25
199304   -2.78   -0.64    2.62    0.24
199305    2.74    1.98   -3.41    0.22
199306    0.29   -0.31    2.58    0.25
199307   -0.32    0.93    3.22    0.24
199308    3.70    0.27   -0.41    0.25
199309   -0.20    3.13   -0.48    0.26
199310    1.59    1.41   -1.60    0.22
199311   -2.01   -1.37   -0.19    0.25
199312    1.72    1.19    0.54    0.23
199401    2.90    0.25    2.25    0.25
199402   -2.63    2.68   -1.39    0.21
199403   -4.85   -0.97    1.28    0.27
199404    0.68   -0.87    1.65    0.27
199405    0.62   -1.96    0.16    0.32
199406   -3.10   -0.43    1.67    0.31
199407    2.78   -1.77    0.95    0.28
199408    3.89    1.47   -3.48    0.37
199409   -2.21    2.66   -1.81    0.37
199410    1.07   -2.16   -2.37    0.38
199411   -4.09   -0.11   -0.04    0.37
199412    0.82    0.04    0.25    0.44
199501    1.62   -2.93    1.68    0.42
199502    3.56   -0.31    0.40    0.40
199503    2.24   -0.34   -2.11    0.46
199504    2.06   -0.45    1.71    0.44
199505    2.86   -2.26    1.93    0.54
199506    2.65    3.04   -2.92    0.47
199507    3.63    2.23   -2.23    0.45
199508    0.46    1.82    1.91    0.47
199509    3.21   -1.99   -1.01    0.43
199510   -1.60   -3.85   -0.15    0.47
199511    3.85   -0.78    0.23    0.42
199512    1.03    0.37    1.27    0.49
199601    2.38   -2.62    0.55    0.43
199602    1.24    2.03   -2.21    0.39
199603    0.70    1.28    1.29    0.39
199604    2.09    4.84   -4.01    0.46
199605    2.26    3.21   -1.41    0.42
199606   -1.23   -3.73    2.12    0.40
199607   -5.83   -3.58    4.31    0.45
199608    2.84    2.25   -0.56    0.41
199609    4.86   -0.82   -3.78    0.44
199610    0.94   -4.09    4.80    0.42
199611    6.14   -3.57    0.14    0.41
199612   -1.60    3.11    0.94    0.46
199701    4.89   -1.51   -2.36    0.45
199702   -0.50   -2.56    4.71    0.39
199703   -4.91   -0.30    3.87    0.43
199704    3.80   -5.15   -1.04    0.43
199705    6.67    4.72   -4.33    0.49
199706    4.04    1.49    0.63    0.37
199707    7.22   -2.43   -0.39    0.43
199708   -4.04    7.43    1.05    0.41
199709    5.40    2.65   -0.27    0.44
199710   -3.87   -0.83    2.27    0.42
199711    2.66   -4.99    0.98    0.39
199712    1.30   -2.33    3.78    0.48
199801    0.02   -1.02   -1.81    0.43
199802    6.93    0.24   -0.74    0.39
199803    4.74   -1.21    1.63    0.39
199804    0.66    0.44    0.29    0.43
199805   -2.98   -3.57    4.27    0.40
199806    2.79   -3.22   -1.86    0.41
199807   -2.73   -4.87   -1.17    0.40
199808  -16.20   -5.60    5.09    0.43
199809    5.92   -0.19   -3.76    0.46
199810    7.12   -3.18   -2.77    0.32
199811    5.89    1.21   -3.49    0.31
199812    5.93   -0.26   -4.82    0.38
199901    3.48    0.78   -5.43    0.35
199902   -4.16   -5.57    1.65    0.35
199903    3.36   -3.73   -2.95    0.43
199904    4.53    3.06    2.48    0.37
199905   -2.41    3.63    2.73    0.34
199906    4.70    3.30   -4.03    0.40
199907   -3.44    2.22    0.54    0.38
199908   -1.39   -1.27   -0.95    0.39
199909   -2.67    3.25   -3.04    0.39
199910    5.81   -6.64   -3.19    0.39
199911    3.33    7.68   -7.82    0.36
199912    7.95    7.03   -9.28    0.44
200001   -4.39    4.30    0.14    0.41
200002    2.74   22.09  -13.20    0.43
200003    4.88  -16.78    8.39    0.47
200004   -6.41   -7.77    9.10    0.46
200005   -4.40   -5.00    3.81    0.50
200006    4.76   13.41  -10.03    0.40
200007   -2.19   -2.78    8.37    0.48
200008    7.14   -1.02   -1.32    0.50
200009   -5.62   -1.82    6.86    0.51
200010   -3.02   -3.64    4.83    0.56
200011  -10.76   -3.10   12.47    0.51
200012    1.53    1.57    6.03    0.50
200101    3.41    6.87   -5.65    0.54
200102  -10.32   -1.09   13.74    0.39
200103   -7.47    0.58    6.24    0.44
200104    8.00    0.20   -4.45    0.39
200105    0.74    2.96    2.76    0.32
200106   -2.03    6.46   -2.14    0.28
200107   -2.13   -4.11    5.33    0.30
200108   -6.22    2.14    3.27    0.31
200109   -9.43   -6.38    1.74    0.28
200110    2.58    6.84   -7.06    0.22
200111    7.70    0.38    0.76    0.17
200112    1.63    5.03    0.35    0.15
200201   -1.75    1.06    3.55    0.14
200202   -2.30   -1.68    3.94    0.13
200203    4.34    4.31    1.13    0.13
200204   -5.11    5.83    4.28    0.15
200205   -1.19   -3.72    2.39    0.14
200206   -7.15    3.54    1.59    0.13
200207   -8.26   -5.12   -3.62    0.15
200208    0.66   -2.28    2.10    0.14
200209  -10.14    2.75    1.25    0.14
200210    7.36   -3.06   -6.71    0.14
200211    6.01    3.11   -1.54    0.12
200212   -5.44   -0.53    3.87    0.11
200301   -2.44    1.36   -0.91    0.10
200302   -1.63   -0.32   -1.59    0.09
200303    0.93    0.80   -1.75    0.10
200304    8.18    1.17    0.02    0.10
200305    6.26    4.69    0.14    0.09
200306    1.53    1.49    0.62    0.10
200307    2.24    5.55   -2.12    0.07
200308    2.42    2.63    1.71    0.07
200309   -0.99    0.59    0.97    0.08
200310    5.96    2.88    1.75    0.07
200311    1.59    2.20    1.32    0.07
200312    4.47   -2.84    2.73    0.08
200401    2.24    2.63    1.54    0.07
200402    1.49   -1.19    0.41    0.06
200403   -1.16    1.82    0.02    0.09
200404   -2.50   -2.51   -1.76    0.08
200405    1.35   -0.15   -0.25    0.06
200406    2.08    2.27    1.70    0.08
200407   -3.87   -3.76    4.39    0.10
200408    0.16   -1.49    1.20    0.11
200409    1.95    2.84    0.49    0.11
200410    1.67    0.55   -0.95    0.11
200411    4.67    4.08    1.97    0.15
200412    3.36    0.17   -0.35    0.16
200501   -2.82   -1.61    2.45    0.16
200502    2.11   -0.73    2.79    0.16
200503   -1.90   -1.29    1.65    0.21
200504   -2.73   -3.92   -0.40    0.21
200505    3.53    3.06   -1.28    0.24
200506    0.92    2.57    2.77    0.23
200507    4.09    2.81   -0.39    0.24
200508   -0.89   -0.96    1.32    0.30

 Annual Factors: January-December 
        Mkt-RF     SMB     HML      RF
  1927   30.21   -2.26   -5.40    3.13
  1928   35.35    4.52   -8.32    3.54
  1929  -19.38  -29.39   12.89    4.74
  1930  -31.02   -4.78  -13.45    2.43
  1931  -45.57    4.85  -15.97    1.09
  1932  -10.35    4.23    5.76    0.95
  1933   57.43   51.47   14.09    0.30
  1934    4.05   25.16  -29.21    0.18
  1935   44.53   11.71    7.03    0.14
  1936   32.37   15.84   29.64    0.18
  1937  -34.91  -13.61   -4.87    0.29
  1938   28.21   12.27  -13.77   -0.04
  1939    1.95    5.75  -17.72    0.01
  1940   -7.42    0.97   -0.20   -0.02
  1941   -9.67   -4.69   12.06    0.04
  1942   15.83    5.44   19.16    0.28
  1943   27.83   31.14   33.85    0.36
  1944   21.08   17.08   18.15    0.33
  1945   38.10   25.37   13.34    0.32
  1946   -6.28   -4.30    1.95    0.36
  1947    2.88   -7.52    9.26    0.50
  1948    1.51   -9.05    3.11    0.81
  1949   19.14    3.06   -3.57    1.12
  1950   28.64    1.50   26.84    1.22
  1951   19.38   -5.08   -4.78    1.49
  1952   11.66   -7.10    4.28    1.65
  1953   -1.50   -0.64   -8.72    1.83
  1954   49.40   -2.08   25.00    0.86
  1955   23.73   -6.02    5.29    1.57
  1956    6.01   -0.47   -2.63    2.47
  1957  -13.53   -2.56   -6.68    3.15
  1958   43.30   14.63   12.28    1.53
  1959    9.56    5.35    1.30    2.98
  1960   -1.51   -2.24   -5.16    2.67
  1961   24.87    0.35    5.47    2.12
  1962  -13.03   -8.63    9.62    2.73
  1963   17.77   -6.13   15.88    3.11
  1964   12.78   -1.89    9.96    3.53
  1965   10.47   21.57    7.70    3.92
  1966  -13.44    2.66   -0.55    4.75
  1967   24.36   51.00   -9.55    4.21
  1968    8.95   24.32   18.24    5.22
  1969  -17.41  -14.38  -10.35    6.57
  1970   -6.44  -11.53   21.91    6.52
  1971   11.81    6.39  -11.69    4.39
  1972   13.50  -11.88    1.74    3.84
  1973  -25.70  -23.54   17.72    6.93
  1974  -35.94   -0.63   10.15    8.01
  1975   31.55   14.83    8.92    5.80
  1976   21.69   14.33   24.04    5.08
  1977   -8.10   23.03    7.70    5.13
  1978    1.36   14.24    0.52    7.19
  1979   14.03   20.49   -2.34   10.38
  1980   21.97    5.67  -24.44   11.26
  1981  -18.70    7.00   25.01   14.72
  1982    9.89    9.11   13.85   10.53
  1983   13.85   13.72   20.03    8.80
  1984   -6.67   -8.06   19.49    9.84
  1985   23.69    0.11    1.76    7.72
  1986    9.40   -9.90    9.50    6.16
  1987   -3.65  -10.64   -1.39    5.47
  1988   11.20    5.81   14.79    6.36
  1989   20.06  -11.98   -4.72    8.38
  1990  -13.92  -14.13   -9.82    7.84
  1991   28.05   16.19  -14.44    5.60
  1992    5.56    7.51   23.94    3.50
  1993    8.69    5.98   18.90    2.90
  1994   -4.67   -1.17   -0.80    3.91
  1995   30.07   -7.48    1.09    5.60
  1996   15.96   -2.61    3.62    5.20
  1997   25.08   -4.86   12.34    5.25
  1998   17.43  -25.23   -9.07    4.85
  1999   20.57   15.13  -33.58    4.69
  2000  -16.93   -2.59   39.74    5.88
  2001  -15.12   18.73   17.85    3.86
  2002  -22.47    3.34   10.27    1.63
  2003   32.12   27.41    4.22    1.02
  2004   11.82    5.13    9.72    1.19
