This file was created by CMPT_ME_BEME_RETS using the 200508 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

        Mkt-RF     SMB     HML      RF
193903  -11.91   -5.31   -8.14   -0.01
193904   -0.26    2.02    0.36    0.00
193905    6.85    3.83   -0.28    0.01
193906   -5.33   -1.68   -5.35    0.01
193907   10.12    4.65    0.23    0.00
193908   -6.60   -4.52   -2.65   -0.01
193909   15.99   18.30   21.99    0.01
193910   -0.41    0.30   -4.40    0.00
193911   -3.66   -4.20   -6.34    0.00
193912    3.01    0.71   -4.09    0.00
194001   -2.46    0.37   -0.28    0.00
194002    1.43    2.22   -0.52    0.00
194003    1.89    1.65   -1.08    0.00
194004    0.13    3.67   -0.40    0.00
194005  -22.01   -6.05   -3.56   -0.02
194006    6.66   -2.46    4.34    0.00
194007    3.24    0.71   -0.50    0.01
194008    2.37    0.36    0.32   -0.01
194009    2.30    3.46   -1.88    0.00
194010    2.99   -0.43    5.73    0.00
194011   -1.64    2.02    0.50    0.00
194012    0.69   -2.31   -1.15    0.00
194101   -4.04    0.86    3.62   -0.01
194102   -1.48   -1.56    0.81   -0.01
194103    0.94    0.33    3.23    0.01
194104   -5.29   -1.67    3.33   -0.01
194105    1.43   -1.01    0.93    0.00
194106    5.84    1.41    0.66    0.00
194107    5.81    5.86    6.92    0.03
194108    0.05   -0.29   -1.08    0.01
194109   -0.75   -1.46    0.08    0.01
194110   -5.16   -2.34    1.74    0.00
194111   -1.96   -0.84   -1.08    0.00
194112   -4.69   -3.31   -4.93    0.01
194201    0.56    7.52    9.89    0.02
194202   -2.29    1.61   -1.06    0.01
194203   -6.57    2.24   -1.24    0.01
194204   -4.33   -0.76    2.02    0.01
194205    6.12   -3.18   -3.07    0.03
194206    2.48   -0.97    0.12    0.02
194207    3.45   -0.39    2.47    0.03
194208    1.84   -0.51    1.80    0.03
194209    2.60    0.35    3.64    0.03
194210    6.77    1.30    6.67    0.03
194211    0.11   -0.56   -5.36    0.03
194212    4.93   -2.10    1.01    0.03
194301    7.51    7.97    7.22    0.03
194302    5.98    4.29    6.17    0.03
194303    6.14    4.95    5.37    0.03
194304    0.66    1.75    6.62    0.03
194305    5.67    4.35    2.99    0.03
194306    1.67   -0.51   -0.83    0.03
194307   -4.66   -2.69   -2.38    0.03
194308    1.26   -0.85   -0.95    0.03
194309    2.39    1.38    1.38    0.03
194310   -1.25    0.87    1.30    0.03
194311   -5.86   -1.55   -4.84    0.03
194312    6.30    3.33    3.09    0.03
194401    1.76    2.20    2.33    0.03
194402    0.40    0.09    1.41    0.03
194403    2.41    1.85    2.91    0.02
194404   -1.75   -1.26   -0.76    0.03
194405    5.16    1.35    1.15    0.03
194406    5.64    4.07    2.42    0.03
194407   -1.54    0.74   -0.68    0.03
194408    1.50    2.19   -1.38    0.03
194409    0.02    0.51   -1.12    0.02
194410    0.24   -0.23   -0.16    0.03
194411    1.51    0.61    1.82    0.03
194412    4.20    1.52    6.62    0.02
194501    1.79    2.94    0.65    0.03
194502    6.52    1.47    4.33    0.02
194503   -3.93   -1.92   -1.36    0.02
194504    7.75    0.45    3.56    0.03
194505    1.79    1.31    1.07    0.03
194506    0.39    2.89    4.28    0.02
194507   -2.25   -1.68   -2.50    0.03
194508    6.04    1.54   -4.42    0.03
194509    4.77    1.88    0.41    0.03
194510    3.89    2.47    1.69    0.03
194511    5.46    3.93    4.34    0.02
194512    1.12    2.57   -2.01    0.03
194601    6.30    3.97    1.85    0.03
194602   -5.82   -0.78   -1.29    0.03
194603    5.93    0.22   -0.78    0.03
194604    4.12    2.31   -0.22    0.03
194605    4.04    1.42    1.77    0.03
194606   -3.98   -1.44   -0.08    0.03
194607   -2.59   -2.06    0.08    0.03
194608   -6.42   -1.85    0.02    0.03
194609  -10.06   -4.43   -2.21    0.03
194610   -1.45   -0.13    3.40    0.03
194611    0.11   -0.44    1.37    0.03
194612    5.05    0.00   -1.22    0.03
194701    1.48    1.76   -0.52    0.03
194702   -1.21    0.55   -0.31    0.03
194703   -1.72   -1.59    0.55    0.03
194704   -4.81   -4.04    0.68    0.03
194705   -1.04   -3.28    0.04    0.03
194706    5.33   -0.35   -0.38    0.03
194707    4.11    1.55    3.07    0.03
194708   -1.78    0.33    0.09    0.03
194709   -0.51    1.57    1.50    0.06
194710    2.41    0.51    0.15    0.06
194711   -1.87   -1.68    1.00    0.06
194712    2.91   -2.38    3.52    0.08
194801   -3.77    2.32    1.16    0.07
194802   -4.43   -1.73   -0.05    0.07
194803    8.17    0.15    4.61    0.09
194804    3.69   -1.50    4.10    0.08
194805    7.37    0.84   -1.11    0.08
194806   -0.09   -1.78    2.60    0.09
194807   -5.12   -0.31    0.00    0.08
194808    0.30   -1.07    0.24    0.09
194809   -2.98   -1.31   -1.77    0.04
194810    5.94   -1.45    0.61    0.04
194811   -9.10   -0.63   -4.51    0.04
194812    3.17   -2.66   -1.61    0.04
194901    0.20    1.53    1.44    0.10
194902   -2.96   -1.93   -0.85    0.09
194903    3.98    2.48    1.27    0.10
194904   -1.90   -1.00   -1.06    0.09
194905   -2.83   -0.81   -2.52    0.10
194906    0.24   -1.06   -1.61    0.10
194907    5.46    0.70    0.32    0.09
194908    2.56    0.01   -0.32    0.09
194909    3.12    1.09    0.04    0.09
194910    3.07    1.02   -0.31    0.09
194911    1.84   -1.00   -0.63    0.08
194912    5.17    2.02    1.64    0.09
195001    1.54    3.66    0.12    0.09
195002    1.36   -0.02   -0.89    0.09
195003    1.12   -1.34   -2.76    0.10
195004    3.92    1.90    1.49    0.09
195005    4.19   -2.01    0.57    0.10
195006   -5.75   -2.50   -0.86    0.10
195007    1.50    0.45   13.44    0.10
195008    4.93    0.97   -1.37    0.10
195009    4.78    0.38   -0.75    0.10
195010   -0.26   -0.38    1.15    0.12
195011    2.79   -0.83    3.25    0.11
195012    5.61    1.50    7.17    0.11
195101    5.66    1.75    4.12    0.13
195102    1.41   -0.04   -2.86    0.10
195103   -2.21   -0.67   -4.08    0.11
195104    4.84   -1.52    3.35    0.13
195105   -2.38    0.05   -1.26    0.12
195106   -2.64   -1.90   -4.00    0.12
195107    6.96   -1.90    1.99    0.13
195108    4.38    0.81    0.10    0.13
195109    0.78    1.99    0.63    0.12
195110   -2.40   -0.32    0.42    0.16
195111    0.49   -0.42    0.26    0.11
195112    3.38   -2.06   -1.90    0.12
195201    1.55   -0.76    1.79    0.15
195202   -2.60    0.66   -0.40    0.12
195203    4.43   -3.00    2.32    0.11
195204   -4.99    0.39    0.20    0.12
195205    3.13   -1.03    0.10    0.13
195206    3.79   -1.62    1.29    0.15
195207    1.04   -0.34   -0.41    0.15
195208   -0.85    1.16   -0.07    0.15
195209   -2.08    1.23   -1.69    0.16
195210   -0.67   -1.16   -0.27    0.14
195211    5.80   -0.70    1.00    0.10
195212    2.96   -1.47    0.13    0.16
195301   -0.33    3.54    1.21    0.16
195302   -0.30    2.12   -0.11    0.14
195303   -1.51   -0.02   -1.04    0.18
195304   -2.90    0.24    1.35    0.16
195305    0.50    0.01    0.22    0.17
195306   -1.81   -1.86   -0.57    0.18
195307    2.37   -0.97   -0.36    0.15
195308   -4.57    0.41   -3.61    0.17
195309    0.15   -0.80   -2.60    0.16
195310    4.57   -1.29    0.01    0.13
195311    2.75   -1.24   -0.33    0.08
195312   -0.06   -0.75   -2.89    0.13
195401    4.95    0.56    3.62    0.11
195402    1.85   -0.32   -0.49    0.07
195403    3.70   -0.55   -1.45    0.08
195404    4.17   -3.42   -0.46    0.09
195405    3.09    0.37    2.53    0.05
195406    1.08    0.43    0.00    0.06
195407    4.99    0.94    4.34    0.05
195408   -2.30    2.70   -1.66    0.05
195409    6.34   -2.37    0.46    0.09
195410   -1.69    0.56    0.72    0.07
195411    9.54   -2.58    4.02    0.06
195412    5.45    2.23    5.58    0.08
195501    0.63    0.31    2.04    0.08
195502    3.05    1.42    0.77    0.09
195503   -0.22   -0.61    1.94    0.10
195504    3.13   -1.81    0.91    0.10
195505    1.05   -0.25   -0.76    0.14
195506    6.49   -4.46    1.65    0.10
195507    1.90   -1.13    0.33    0.10
195508    0.28   -0.54    0.75    0.16
195509   -0.38    0.26   -0.80    0.16
195510   -2.75    1.56   -0.26    0.18
195511    6.98   -2.14    0.21    0.17
195512    1.47    2.09   -2.16    0.18
195601   -3.02    0.43    0.87    0.22
195602    3.77   -0.90   -0.39    0.19
195603    6.66   -1.96   -0.85    0.15
195604    0.33   -0.08    0.02    0.19
195605   -5.14    1.36   -1.26    0.23
195606    3.49   -1.30   -1.17    0.20
195607    4.87   -2.02    0.46    0.22
195608   -3.09    2.29   -1.42    0.17
195609   -5.24    1.68    1.73    0.18
195610    0.52   -0.16   -0.15    0.25
195611    0.60    0.01    1.78    0.20
195612    2.83   -0.17   -2.26    0.24
195701   -3.48    3.66    2.46    0.27
195702   -2.10   -0.78   -0.52    0.24
195703    2.17    0.26   -0.42    0.23
195704    4.26   -1.81   -1.31    0.25
195705    3.39   -1.07   -2.15    0.26
195706   -0.80    0.43   -0.02    0.24
195707    0.66   -0.45   -0.05    0.30
195708   -5.26    0.07   -0.24    0.25
195709   -6.02    0.10    0.93    0.26
195710   -4.41   -2.58   -1.98    0.29
195711    2.26    0.39   -2.85    0.28
195712   -3.97   -0.85   -1.83    0.24
195801    4.69    4.29    4.28    0.28
195802   -1.52    0.74    0.17    0.12
195803    3.28    0.85   -1.25    0.09
195804    3.00   -0.73    1.66    0.08
195805    2.34    2.07   -0.16    0.11
195806    2.92   -0.19    0.42    0.03
195807    4.44    0.46    3.06    0.07
195808    1.87    1.23    0.28    0.04
195809    4.68   -0.10    3.35    0.19
195810    2.56    1.27   -1.62    0.18
195811    2.92    2.06   -1.43    0.11
195812    5.10   -2.06   -0.22    0.22
195901    0.70    3.00    2.97    0.21
195902    0.92    1.45    0.93    0.19
195903    0.25    1.38   -0.12    0.22
195904    3.64   -0.53   -1.31    0.20
195905    1.67   -2.11    1.88    0.22
195906   -0.16    0.64    1.30    0.25
195907    3.15   -0.27    0.21    0.25
195908   -1.46   -0.93    0.21    0.19
195909   -4.80   -0.11    0.49    0.31
195910    1.25    1.50   -2.08    0.30
195911    1.57    1.33   -3.34    0.26
195912    2.47   -0.60   -0.04    0.34
196001   -6.99    2.14    2.66    0.33
196002    0.99    0.71   -2.15    0.29
196003   -1.46   -0.64   -2.68    0.35
196004   -1.70    0.33   -2.22    0.19
196005    3.08    1.42   -3.84    0.27
196006    2.09   -0.24   -0.30    0.24
196007   -2.23   -0.40    1.94    0.13
196008    2.85    0.36    0.65    0.17
196009   -6.00   -0.97    1.29    0.16
196010   -0.70   -3.76    2.34    0.22
196011    4.72    0.53   -2.96    0.13
196012    4.68   -1.52   -0.67    0.16
196101    6.23    0.77    3.73    0.19
196102    3.54    3.86   -1.04    0.14
196103    2.86    3.35   -0.80    0.20
196104    0.39    0.07    1.87    0.17
196105    2.40    2.01    0.38    0.18
196106   -3.04   -2.44   -0.37    0.20
196107    2.81   -1.86   -0.31    0.18
196108    2.54   -1.78   -0.23    0.14
196109   -2.17   -1.22   -0.35    0.17
196110    2.56   -1.88    0.38    0.19
196111    4.39    1.05   -1.02    0.15
196112   -0.10   -1.16    2.21    0.19
196201   -3.86    2.00    4.82    0.24
196202    1.75   -1.23    1.01    0.20
196203   -0.66    0.27   -1.02    0.20
196204   -6.56   -1.11    0.66    0.22
196205   -8.69   -2.97    2.47    0.24
196206   -8.46   -0.81    2.99    0.20
196207    6.28    1.50   -3.55    0.27
196208    2.11    1.28   -1.19    0.23
196209   -5.23   -2.54    1.38    0.21
196210   -0.04   -3.96    1.34    0.26
